#Raman_shift/cm-1          I_tot                 I_e                   I_h
 -1977.4        5.417377706441E-009   5.497465083461E-008   2.647941880096E-008
 -1977.3        5.419824051410E-009   5.499943942408E-008   2.649134972534E-008
 -1977.2        5.422272065608E-009   5.502424492456E-008   2.650328878834E-008
 -1977.1        5.424721750556E-009   5.504906735144E-008   2.651523599738E-008
 -1977.0        5.427173107775E-009   5.507390672015E-008   2.652719135987E-008
 -1976.9        5.429626138789E-009   5.509876304611E-008   2.653915488324E-008
 -1976.8        5.432080845123E-009   5.512363634479E-008   2.655112657492E-008
 -1976.7        5.434537228305E-009   5.514852663164E-008   2.656310644237E-008
 -1976.6        5.436995289862E-009   5.517343392217E-008   2.657509449303E-008
 -1976.5        5.439455031326E-009   5.519835823187E-008   2.658709073437E-008
 -1976.4        5.441916454228E-009   5.522329957626E-008   2.659909517386E-008
 -1976.3        5.444379560104E-009   5.524825797090E-008   2.661110781897E-008
 -1976.2        5.446844350488E-009   5.527323343133E-008   2.662312867720E-008
 -1976.1        5.449310826918E-009   5.529822597313E-008   2.663515775604E-008
 -1976.0        5.451778990933E-009   5.532323561190E-008   2.664719506300E-008
 -1975.9        5.454248844075E-009   5.534826236325E-008   2.665924060558E-008
 -1975.8        5.456720387886E-009   5.537330624281E-008   2.667129439131E-008
 -1975.7        5.459193623910E-009   5.539836726622E-008   2.668335642773E-008
 -1975.6        5.461668553695E-009   5.542344544915E-008   2.669542672237E-008
 -1975.5        5.464145178788E-009   5.544854080729E-008   2.670750528277E-008
 -1975.4        5.466623500738E-009   5.547365335634E-008   2.671959211650E-008
 -1975.3        5.469103521099E-009   5.549878311200E-008   2.673168723112E-008
 -1975.2        5.471585241422E-009   5.552393009003E-008   2.674379063420E-008
 -1975.1        5.474068663263E-009   5.554909430618E-008   2.675590233332E-008
 -1975.0        5.476553788179E-009   5.557427577622E-008   2.676802233608E-008
 -1974.9        5.479040617730E-009   5.559947451594E-008   2.678015065008E-008
 -1974.8        5.481529153474E-009   5.562469054114E-008   2.679228728292E-008
 -1974.7        5.484019396975E-009   5.564992386767E-008   2.680443224222E-008
 -1974.6        5.486511349797E-009   5.567517451136E-008   2.681658553560E-008
